# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: WL+XC+GC
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [136.0, 136.0, 136.0, 136.0, 136.0, 176.0, 176.0, 176.0, 176.0, 204.0, 204.0, 204.0, 222.0, 222.0, 233.0]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: nDGP: ReACT (2)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - log10Omega_rc: -0.60205999132
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: [-1.5,1.5]
#            #       - q1: [-2.0,2.0]
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: [0.8,3.0]
#            #       - b1_2: [0.8,3.0]
#            #       - b1_3: [0.8,3.0]
#            #       - b1_4: [0.8,3.0]
#            #       - b1_5: [0.8,3.0]
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          sigma0          q1          a1_IA          eta1_IA          b1_1          b1_2          b1_3          b1_4          b1_5        log_w   log_l
3.123579679953606414e-01 2.215928849873550002e-02 7.255065494533379233e-01 3.160515807698474067e+00 9.647949955476455841e-01 4.956287775366927661e-01 -9.771226533679387982e-01 1.207569386926043542e+00 3.661385854945020668e+00 -1.530438260638579351e+00 2.935997584156390339e+00 2.305629362582994890e+00 2.782623040297069750e+00 2.121368859912813321e+00 2.205858633662288071e+00 -inf -inf
3.002819822245064163e-01 2.182266557913417268e-02 6.724746252591753404e-01 3.127139277681651119e+00 9.608206627046446124e-01 -1.451158355391160892e+00 8.823735744514009660e-01 -1.231923036853442621e+00 1.814810170292964764e-01 -5.862765068370398680e+00 2.922216653225141236e+00 2.747925063474513152e+00 2.224777480318798961e+00 1.631902340396555129e+00 1.382912962756575492e+00 -inf -inf
3.454763607754278154e-01 2.227282100416386884e-02 6.299964834095376220e-01 2.971534085360181709e+00 9.664296374868116546e-01 -1.575208037330468880e-01 -1.152643749053323008e+00 -4.733580955341460950e-01 1.037495861238194372e+01 4.886916422163483986e+00 2.969734180420772418e+00 2.039866309077455142e+00 1.849570826365141807e+00 2.435587001948925856e+00 2.988064856805899616e+00 -inf -inf
3.536442305418320275e-01 2.183204232166210956e-02 6.758737594055876929e-01 2.916023205871830726e+00 9.620426780548321233e-01 3.274196591423756963e-01 -1.434421087786180493e+00 -1.345001436133906214e+00 9.053666675101384342e+00 4.395946230087405482e+00 2.600222686007179096e+00 2.244338015499434125e+00 9.887086937677789233e-01 2.622329153774527022e+00 1.311026124969044915e+00 -inf -inf
3.094007811162807764e-01 2.240837056993369089e-02 6.648916333334888851e-01 2.912337527791381220e+00 9.595277806812121391e-01 7.047423685016838135e-01 -5.036044284186682596e-01 9.093852912121551668e-01 2.861471441005333238e-01 -2.759735562261944608e-02 2.100519510811011958e+00 1.370204700624051197e+00 1.042788548120063830e+00 1.209434867574640027e+00 2.391628404457763146e+00 -inf -inf
2.922375306199965772e-01 2.245654722281733434e-02 6.202137518104566816e-01 2.998283253899169498e+00 9.667488274205765508e-01 -1.449134404540488141e+00 1.073423693500470844e+00 -1.881566337882368156e+00 8.156162869245086711e+00 -2.967741712402304444e+00 2.704949209377747188e+00 1.252120749479188611e+00 2.026583052442648025e+00 1.451263020924102420e+00 1.094397959958260724e+00 -inf -inf
3.273107644261534221e-01 2.231787438147859320e-02 7.179534167483414553e-01 3.149965225101275301e+00 9.576127591694674202e-01 5.287204122831714592e-01 -8.333924234427485533e-01 -8.124005070885398361e-01 1.036733747708956521e+01 -5.658087550939540300e+00 8.474860628300344700e-01 1.498808201703517362e+00 2.687215095489218442e+00 2.790617123922105591e+00 1.705320327878959930e+00 -inf -inf
3.135744102837316749e-01 2.132478557241641176e-02 7.084040324998052141e-01 2.942550196628091808e+00 9.613123110525322312e-01 -1.338914629049032357e+00 -3.748152888162297192e-01 7.085918107730133642e-01 1.040333261134709986e+01 -6.770535689341012464e+00 2.174106430621085551e+00 1.361818842907213556e+00 2.472884736169439712e+00 9.439305530720389914e-01 2.243438042145490918e+00 -inf -inf
3.174959945686041674e-01 2.225542686859601632e-02 6.114092535959756436e-01 3.180500498180049984e+00 9.607180240351465006e-01 1.096429575260468248e+00 -1.079103213444940534e+00 -1.063870388879868845e+00 8.372546374517103374e+00 -5.902769632308141112e+00 1.034623364121871392e+00 1.687028771204978295e+00 8.430189748647554104e-01 2.869924434624442355e+00 1.173343545190350001e+00 -inf -inf
2.990911464055362456e-01 2.263690949973032329e-02 6.169248949767102141e-01 2.951833766693016781e+00 9.641289637187978601e-01 1.040985965131101310e+00 -1.163595419982123458e+00 -4.578042200120382432e-01 1.058739353957273188e+01 2.833620084950771556e+00 1.618197540449249239e+00 1.541428707931002506e+00 2.362080217473851107e+00 1.068571172055505780e+00 2.203085759432273250e+00 -inf -inf
2.876706738561854992e-01 2.254126129626214323e-02 6.347902429041968331e-01 2.914191928513365060e+00 9.630490344081797938e-01 -1.348598820749166372e+00 -2.537340251357682597e-01 1.063594928034472087e+00 1.033314600736588851e+01 -1.787504834433487844e+00 9.329337944543596439e-01 2.918812819532290881e+00 1.598245024399737702e+00 2.937128563706694173e+00 2.992683398073052281e+00 -inf -inf
3.587323787371837214e-01 2.207782029122267592e-02 6.129209607931289661e-01 2.886414286642423388e+00 9.660947071292633748e-01 1.489205138830438369e-01 -1.391239278426280812e+00 -1.402057961005789721e+00 1.129686252225645227e+01 2.725645784399404192e-01 2.917713805921791526e+00 2.262030583611007728e+00 1.391367539140940357e+00 1.502393936006905850e+00 2.643416586417410841e+00 -inf -inf
3.367022664727101766e-01 2.251088775631927483e-02 6.600873417816364164e-01 3.061478164735354390e+00 9.617682127065898534e-01 -1.365260948119424445e+00 -9.420699061389403717e-02 4.663766049202058284e-01 1.139337094107513693e+01 -3.402029730672697649e+00 1.699371591613543231e+00 2.396616795486173235e+00 1.430536226798157173e+00 2.237548999747375422e+00 1.083056943195507937e+00 -inf -inf
