# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: f(R): ReACT (6)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: 0.0
#            #       - q1: [-2.0,2.0]
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          q1          a1_IA          eta1_IA        log_w   log_l
3.091489304559029150e-01 2.151483415358609180e-02 6.197480631816718599e-01 3.175742073078198668e+00 9.666964139324338845e-01 1.120071003104592400e+00 -5.041508479635914419e-01 8.328705820985421227e+00 3.406768997049061554e+00 -inf -inf
2.883286780437567254e-01 2.169408434281699244e-02 6.922907023830654483e-01 2.895065480221835408e+00 9.629694909949109149e-01 -1.057507816402042611e+00 2.302666062474623132e-01 8.120259931934205255e+00 3.501598369301792246e+00 -inf -inf
3.520159902551097675e-01 2.258023441783274521e-02 6.739094998212227239e-01 2.933114689920947704e+00 9.643824410353734056e-01 -1.394301242718567480e+00 1.228647557597551732e+00 4.394883092311879125e+00 -9.855786797330807758e-01 -inf -inf
3.406475351721946487e-01 2.257861022691356676e-02 7.143932381618909311e-01 3.100424556695701384e+00 9.624921082591064714e-01 1.081697719428486693e+00 -1.060995265237238083e+00 8.108387082352296105e+00 -2.977764388958371811e+00 -inf -inf
2.988947197342585738e-01 2.271892916188163539e-02 7.189411383397454891e-01 2.927612143219209706e+00 9.638025514419407136e-01 1.108031872856255262e+00 3.835241649561362820e-01 5.742987949888163079e+00 1.247982928376194067e+00 -inf -inf
3.313971260921341200e-01 2.253689723075802051e-02 7.091407324112651844e-01 3.039919318448060626e+00 9.683343385364804323e-01 -1.278541392026012469e+00 7.544744490847712370e-01 1.634784907241325635e+00 5.798364254273401741e+00 -inf -inf
3.544429868848830711e-01 2.180653900672631720e-02 6.430771220430394619e-01 3.139554336503828313e+00 9.573323693600719331e-01 -3.859964950180234666e-01 -3.277293514278154518e-01 4.252935570585272274e+00 5.722411214633680743e+00 -4.330487629980973511e+11 -4.330487630186420288e+11
3.000846067748995094e-01 2.198800545846867072e-02 6.871988477148830432e-01 2.986434749297123492e+00 9.660803760666200057e-01 -9.986633606213332071e-01 -1.620029907058937457e+00 2.323791194560426376e+00 3.318701551028640395e+00 -8.278337413556770189e+05 -8.278542860411829315e+05
3.048655620499317043e-01 2.240947538556097365e-02 7.161023205168497441e-01 3.180165999975100632e+00 9.699096872294700189e-01 1.146216758269744673e+00 1.532568333212748879e+00 5.996082957351658749e+00 -5.977822710132659978e+00 -inf -inf
3.397901876079689742e-01 2.261530212033463494e-02 6.220239073370711358e-01 3.080898501608569706e+00 9.579675292827385391e-01 -1.163041065005777419e+00 -1.614302053603755560e+00 5.149692389036007789e+00 5.413920014442471285e+00 -inf -inf
3.274523624362903895e-01 2.246533081996212808e-02 6.514853601370218517e-01 2.924107813819372570e+00 9.662352311339772459e-01 1.321808009004726614e+00 -1.407970143174019917e+00 5.161121990339401222e+00 3.879130508162305091e-01 -inf -inf
3.544383124471101043e-01 2.253351273494180046e-02 7.158160978319666468e-01 3.092884570005184131e+00 9.627090050556997847e-01 1.190349272505036193e+00 5.859397593693800310e-01 6.846568942640722355e+00 3.377096794053196405e+00 -inf -inf
2.964330510137617725e-01 2.238124577480341687e-02 6.944297507453236484e-01 3.048193861973107488e+00 9.613474269336160782e-01 1.167719967759155431e+00 7.627971608884243082e-01 2.132494569883726321e+00 4.191878725485587154e+00 -inf -inf
2.810615822140358766e-01 2.226506356521918556e-02 6.835803637666886257e-01 3.115076593123175641e+00 9.693915855956692917e-01 9.490017121201148598e-01 -1.054434162455284429e-01 1.020454836419263600e+01 1.311278743982393635e+00 -4.343506008262127638e+06 -4.343526552947633900e+06
3.539508159174253876e-01 2.262749298351128188e-02 6.459532399117350332e-01 3.064519850715747840e+00 9.621572811401041259e-01 6.889176446012927890e-01 1.048403040008749620e+00 2.744914991147628047e+00 5.873242636950127604e+00 -2.029625467667127686e+11 -2.029625467872574463e+11
3.194813469732146194e-01 2.227342262361124356e-02 6.202636922747271075e-01 3.004758834088278707e+00 9.588673120638195879e-01 1.383027806582647123e+00 1.356642569588384362e-02 1.131023958175002875e+01 5.439048499675729786e+00 -inf -inf
2.814121776018993493e-01 2.187153069806590730e-02 6.968646958898391253e-01 3.118173191697967805e+00 9.587944240517095595e-01 2.232315563008444581e-01 -1.202844202305284771e+00 1.046471152708500263e+01 6.018404481974460651e+00 -2.047347580297183594e+13 -2.047347580299237891e+13
3.595121138293732588e-01 2.267086099961592230e-02 7.009048409110495426e-01 3.055669365465545351e+00 9.659275353775451656e-01 -1.218302932421640561e+00 -6.149400165066971624e-01 5.960341347411711510e+00 5.257793893718165634e+00 -inf -inf
3.157500898422067603e-01 2.251593838803984948e-02 6.733055496497204473e-01 3.083498275510934139e+00 9.583071739841712011e-01 1.141692928622162650e+00 1.254929788333222440e+00 4.568166059697832182e+00 3.244445725966436100e-01 -inf -inf
3.318908916038805224e-01 2.226761450782087370e-02 7.268486505953091203e-01 3.164876263898404929e+00 9.622841890903381934e-01 1.116853016951089739e+00 -9.020360894697652121e-01 1.644684302491103534e+00 -5.908835902819097541e+00 -inf -inf
3.282343880070242026e-01 2.282081444844348203e-02 7.124691985140002570e-01 2.947651322248646899e+00 9.568774831208246567e-01 -1.367096853468667161e+00 2.882366022323887833e-01 2.674085771931635214e-01 1.717547093993475826e+00 -inf -inf
3.121202788046491539e-01 2.247719614729393189e-02 6.925747004591519262e-01 3.038845150531009232e+00 9.590039423097251881e-01 4.113185320602754658e-01 1.355993150694434490e+00 9.418840278586406711e+00 4.898181070781685520e+00 -2.365170882358760376e+11 -2.365170882564207153e+11
