# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]
#         #   - cut in l_max (GC, XC): [136.0, 136.0, 136.0, 136.0, 136.0, 176.0, 176.0, 176.0, 176.0, 204.0, 204.0, 204.0, 222.0, 222.0, 233.0]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: nDGPemu (8)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - log10Omega_rc: -0.60205999132
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: 0.0
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: [-10.0,-3.0]
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          log10f_R0          a1_IA          eta1_IA        log_w   log_l
3.405035381176233500e-01 2.252017458516603413e-02 6.237032387951141343e-01 3.123994182886946192e+00 9.626860428084248467e-01 -8.044974984633972426e+00 3.925870088346787856e+00 -3.001645339314027439e+00 -inf -inf
3.562223714205470237e-01 2.233513558157088422e-02 7.191144021589483959e-01 3.060097028332688929e+00 9.647761991625183331e-01 -8.217565237365919373e+00 1.694037311460799167e+00 -3.432622073460986911e-01 -inf -inf
3.245821480305934870e-01 2.250505710401088863e-02 6.258017504840801548e-01 3.193497491087508688e+00 9.688416279477760629e-01 -7.288386509804735347e+00 1.134195353774134318e+01 4.928417815464909424e+00 -inf -inf
3.082312343152576184e-01 2.289698096825586171e-02 6.841988434289929533e-01 3.052757721475209074e+00 9.597806273402196275e-01 -3.587919795485999153e+00 3.532397080803104217e+00 -2.548041351375890606e+00 -inf -inf
3.250723806835824625e-01 2.248348443433202323e-02 6.544901024648646093e-01 3.088103291498185854e+00 9.597167949878832038e-01 -9.016633041618531408e+00 4.752157494453184583e+00 -4.529236270303747425e+00 -inf -inf
2.905226246535929646e-01 2.218953206267743755e-02 6.193113628497560752e-01 2.880257300206827686e+00 9.580994690210342668e-01 -8.994498035935034608e+00 2.816911122034853054e+00 -2.132384065188510647e+00 -inf -inf
2.862360622578045688e-01 2.175076433777511919e-02 6.150778726945120845e-01 3.077653830795218592e+00 9.563939052627269399e-01 -9.030883867534235776e+00 1.263210407180029859e+00 -5.542027927480548399e+00 -inf -inf
3.110710706817912397e-01 2.182976259148229625e-02 6.435861642457244569e-01 3.155609773994256795e+00 9.559110754400450549e-01 -6.994117969984523064e+00 4.774241328349855706e+00 4.748134402799799147e+00 -1.934655231106421709e+09 -1.934655245965030670e+09
3.502461859156918988e-01 2.255376315524981051e-02 6.691448732712456104e-01 3.071200574563183849e+00 9.595747512444701144e-01 -3.364495704239717000e+00 7.201308873539984390e+00 -2.632617011799712081e+00 -inf -inf
3.453624082478061186e-01 2.194566551748622016e-02 7.207419481450032528e-01 3.089289645792766326e+00 9.605501193735541676e-01 -3.714978902672111616e+00 8.860184504955798346e+00 9.807391209270246435e-01 -inf -inf
3.571513318025087980e-01 2.200484101837389336e-02 7.033532174679397730e-01 3.028907213683408539e+00 9.626431797136753010e-01 -9.875063361456376754e+00 1.614037109780161794e+00 5.685524177420058223e+00 -inf -inf
3.199950803375493091e-01 2.234465164391782541e-02 7.221711965421715451e-01 3.019690789239931394e+00 9.641666207856286475e-01 -8.481680888239916172e+00 7.385500068770865845e+00 -4.886298968270770260e-01 -inf -inf
3.431580542091429709e-01 2.224918108163286001e-02 6.768710776717384858e-01 3.062713525787479796e+00 9.591319375967090055e-01 -9.464572667183526633e+00 9.648445363312415424e+00 5.558554010215585706e+00 -inf -inf
3.060545181108003110e-01 2.202144411261059559e-02 6.267470711635576563e-01 2.933887299606604770e+00 9.646889296457867857e-01 -7.851021471715219135e+00 3.619950647738934713e+00 -3.150167073199853895e+00 -inf -inf
3.135921704443166425e-01 2.223599373006423033e-02 6.275404212651738423e-01 3.133786184175149980e+00 9.658007187601258536e-01 -7.027136830943149448e+00 4.460753257452689802e+00 -3.591663634408196693e+00 -inf -inf
3.342454514008154076e-01 2.292929374449348412e-02 7.027284801443984819e-01 3.131661919642134251e+00 9.644669196745588868e-01 -8.221888922011626022e+00 7.585758831268591962e+00 4.699986033621172510e+00 -inf -inf
3.450335322909626745e-01 2.224783544459107629e-02 7.103422091147880701e-01 3.166334838759339299e+00 9.640999351139490914e-01 -6.278902625312467123e+00 7.933756431016909083e+00 1.978098500001703286e+00 -inf -inf
3.516380584240689777e-01 2.219706351658130156e-02 6.661002477954812706e-01 2.898848747988670205e+00 9.705215913042125608e-01 -9.062413585170691732e+00 1.898007015942354825e-01 -3.118147160967331466e+00 -inf -inf
3.320258575627795250e-01 2.216264995419474013e-02 6.982998249541330082e-01 3.173503835869361911e+00 9.629685360334218069e-01 -8.283421831093711774e+00 5.578119652012042629e+00 1.138581508673402354e+00 -inf -inf
3.564283927685428788e-01 2.264785033245668433e-02 6.755011550634953954e-01 3.058006826362400510e+00 9.689773452985913638e-01 -7.571330339768385542e+00 8.172263848554726096e+00 1.764048965515364387e+00 -inf -inf
3.062238574713362360e-01 2.205116648389970208e-02 6.623140921103369827e-01 2.975248319593060131e+00 9.657649925437185034e-01 -3.695589558838642930e+00 8.442093323063300403e+00 -5.042299416909658660e+00 -inf -inf
3.191436060419127752e-01 2.252763976309687943e-02 6.603061950649636858e-01 3.097045185416092306e+00 9.673162916658547550e-01 -3.682882145124094286e+00 1.428520914485195581e+00 3.634013272973582787e+00 -inf -inf
2.904269011162903813e-01 2.279442519837912920e-02 6.296731827402685111e-01 2.883493403526768084e+00 9.694567348243539051e-01 -3.387453187690061540e+00 1.198964913225211681e+01 -2.338188439525938911e+00 -inf -inf
