# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000, 3000]
#         #   - cut in l_max (GC, XC): [20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: f(R): ReACT (6)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: f(R): ReACT (6)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: 0.0
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: [-10.0,-3.0]
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          log10f_R0          a1_IA          eta1_IA        log_w   log_l
3.532433313501282535e-01 2.214361267428919741e-02 6.460606547938461119e-01 3.047992298588678928e+00 9.661044778511028719e-01 -8.627881630670289681e+00 3.131130483957787369e+00 -3.036119617256081593e+00 -inf -inf
3.004999176555233631e-01 2.167333879269381369e-02 6.165850523817626438e-01 2.873385547011837016e+00 9.635903929453935035e-01 -3.283543611041752186e+00 1.177904503558395533e+01 1.672417197528012878e+00 -inf -inf
3.519727754522634644e-01 2.280103761478819227e-02 6.470644914041524531e-01 3.021055847245832204e+00 9.674448097134873414e-01 -3.294721227514244788e+00 1.001229225870306827e+01 -5.402791625794296948e+00 -inf -inf
3.022717612087610362e-01 2.228834718429827805e-02 7.215068720507843425e-01 3.208454630762714643e+00 9.617247538651305661e-01 -8.709325652895818948e+00 6.136189863379194698e+00 3.581961949535690692e+00 -3.737531897696680427e+08 -3.737532191103054881e+08
3.333635134353883367e-01 2.266527718655605983e-02 6.709225811195763667e-01 3.094318903486679151e+00 9.616265958380575407e-01 -6.194296311407008204e+00 6.749461040457429561e+00 6.049271112909506698e+00 -9.663244789772787109e+12 -9.663244789802128906e+12
3.312638224968246226e-01 2.236686589862176000e-02 6.569742075538602677e-01 2.995953322488611015e+00 9.632066763980607904e-01 -8.295327125544982749e+00 7.125904952930468994e+00 2.832316476530762017e+00 -4.262712907417625934e+07 -4.262715841481371224e+07
3.561556440117482625e-01 2.184309524300757921e-02 6.405456168356317148e-01 3.195042486481978639e+00 9.631874452298285760e-01 -3.419860337193620481e+00 3.063445572995621369e+00 -4.842390093318277522e+00 -inf -inf
3.173010540671122870e-01 2.241203426898676423e-02 6.471709144081003728e-01 2.895620006306657057e+00 9.575251033766570830e-01 -7.677624084690748418e+00 9.336086039342381682e+00 3.867903661465406984e+00 -1.853284939325214386e+09 -1.853284968665851831e+09
3.311759335043453212e-01 2.274957321175041097e-02 6.307315402974624785e-01 3.217701752479754873e+00 9.660580658408991495e-01 -5.256968482638216145e+00 1.756512184635683704e+00 -5.804168958268141942e+00 -7.865343769332710508e+03 -7.894684406789041532e+03
3.229022146273389793e-01 2.144829096366569071e-02 7.105680054986935890e-01 2.959049692858940706e+00 9.672811014763988968e-01 -3.510424520748157917e+00 8.885795980862210897e+00 -2.622847851053569990e+00 -inf -inf
3.514829579753259159e-01 2.232962458151469681e-02 6.171697828164033339e-01 3.162761535950686653e+00 9.584204602990485933e-01 -3.381327798081750657e+00 3.091096365655506273e-01 -5.841864563453635917e+00 -inf -inf
3.052218948923315356e-01 2.222268824430410558e-02 6.233348284071307255e-01 2.881047416646773662e+00 9.625298518224155719e-01 -4.088492398381541548e+00 5.824161352828862270e+00 1.422828041281558598e+00 -inf -inf
2.970012713257785264e-01 2.221744530636780846e-02 6.545323630258881309e-01 2.857020958195788829e+00 9.628788277790103489e-01 -3.542453156295244376e+00 1.887611092463108153e-01 -3.781502803731977114e+00 -inf -inf
3.234223696374119439e-01 2.199489226002816766e-02 6.132952385061631873e-01 2.889514886199058719e+00 9.624189052880128825e-01 -7.146043903848076972e+00 1.021161715354941268e+00 -3.802351325516124092e+00 -inf -inf
3.441708179183562977e-01 2.209008379346140763e-02 6.112516748175007564e-01 3.064258622441971003e+00 9.619079418745929422e-01 -4.338151255860488220e+00 6.181665490292081344e+00 -6.448298177910485762e+00 -inf -inf
2.832397323877943185e-01 2.239209362599658970e-02 7.185538478404499552e-01 3.194838264207882528e+00 9.616794333247667970e-01 -3.215732576171897783e+00 3.757391678640922272e-01 1.242031186165123202e+00 -inf -inf
3.567195490961664328e-01 2.222903333825392361e-02 6.724375933810547989e-01 3.213368685845426231e+00 9.574201936612983799e-01 -8.741129157611094769e+00 1.007624281912965003e+01 -3.602059373367350048e-02 -inf -inf
3.141695146395865890e-01 2.204649996416235477e-02 6.421745485872716319e-01 2.863856416468598898e+00 9.580173532116336155e-01 -3.023406223946615512e+00 8.902445548368149275e+00 1.068458357004059778e+00 -inf -inf
3.275632419689775143e-01 2.246008349190853348e-02 6.897435343341927760e-01 3.023474246910058394e+00 9.646240062074101784e-01 -3.758717076453118366e+00 6.302802616069350883e+00 4.505107171400059229e+00 -inf -inf
3.519733362297595702e-01 2.229025752480382969e-02 7.200101770736340168e-01 2.858382083510488947e+00 9.677553636356351907e-01 -7.326776953608900911e+00 1.152508478641768619e+01 1.058520866900359181e+00 -inf -inf
3.462320780591386926e-01 2.253020501315701127e-02 6.580104484680215915e-01 3.085398788484720711e+00 9.586697796995509169e-01 -8.030724031332256985e+00 8.632199965931745211e+00 3.606570945529721683e+00 -1.806534893953050852e+09 -1.806534923293688297e+09
3.339000118324236821e-01 2.295690449142252440e-02 6.541030833371475062e-01 3.089151069736312039e+00 9.594418247239372421e-01 -9.241596344485248693e+00 1.139793593018271523e+01 4.549756740167314462e+00 -1.262399174972461548e+11 -1.262399175265867920e+11
3.363046032163141130e-01 2.128858483815081887e-02 6.187239453567749958e-01 2.854086172799391363e+00 9.618994918160331808e-01 -6.917499237240573251e+00 9.972335252378691450e+00 -2.263746690877302292e+00 -inf -inf
3.564013024826720444e-01 2.271556676881880329e-02 6.897864870322525377e-01 2.986923464915324455e+00 9.640477561439394494e-01 -6.583152680997174322e+00 3.769173779995556472e+00 -5.415533484139901432e+00 -inf -inf
3.055723564550547056e-01 2.177419702504625187e-02 6.204901055531953924e-01 3.135128895905147761e+00 9.548539729986370572e-01 -3.097455306290293642e+00 9.788365990405512918e+00 -6.537833818725258261e+00 -inf -inf
3.085656398833482861e-01 2.241403968003135433e-02 6.407726035491088101e-01 2.947775687098032282e+00 9.569468089316766068e-01 -3.086039647553783460e+00 1.077667880227537234e+00 4.895778079513158687e+00 -inf -inf
2.917886681526720150e-01 2.235531503455757615e-02 7.070258578146766393e-01 2.905265096872109432e+00 9.627061602737150281e-01 -6.114174852487935574e+00 1.259117258951841567e+00 5.588164714269888478e+00 -5.414881316471126080e+08 -5.414881609877500534e+08
3.287936926259303894e-01 2.245612975213278142e-02 6.147171471238139784e-01 3.093369390551100384e+00 9.580189537366079477e-01 -3.501108579463161341e+00 9.271390428139619999e+00 1.879920940993539347e+00 -inf -inf
3.020058149326845243e-01 2.185400456490615637e-02 6.101434922980131237e-01 2.868514857607485258e+00 9.712895083732625556e-01 -3.104792383516217669e+00 6.734930928738133815e+00 -5.354131465151930946e+00 -inf -inf
3.578042000907901699e-01 2.272567717364070913e-02 7.108176579520425475e-01 3.168260008289740970e+00 9.574728035440032148e-01 -7.999803555633492991e+00 1.172095991296993134e+01 -3.333642183855600738e+00 -inf -inf
3.551299267889782563e-01 2.220714167278960149e-02 7.180779507958885421e-01 2.949696963383094950e+00 9.641573298839473116e-01 -8.695619200873629495e+00 1.240442366335543056e+00 -6.180873541480256250e+00 -inf -inf
2.940098251192268530e-01 2.185888955678857992e-02 6.990588841525605668e-01 3.088052390773841083e+00 9.540436207944986702e-01 -3.224068825598873644e+00 4.175166251880106927e+00 -6.128082236441560582e+00 -inf -inf
3.364657334336079719e-01 2.200901455030686293e-02 6.260738217507797465e-01 2.870102288085418341e+00 9.653853740578107745e-01 -7.971843767445569107e+00 1.656361073583465071e+00 -6.750837650665591383e+00 -inf -inf
3.529593711643321807e-01 2.177657701468898102e-02 7.048022965866154177e-01 2.978447470627640925e+00 9.581328715408792274e-01 -4.898808902688289280e+00 1.756931367212369199e+00 -4.967435457550988254e+00 -inf -inf
3.156103481445386993e-01 2.160920966489320028e-02 6.966003507426709040e-01 2.870019708661089908e+00 9.655093277577379007e-01 -6.566385850193588780e+00 9.313687384362735244e+00 2.336778738040694137e+00 -2.754713028498797491e+07 -2.754715962562543154e+07
3.585063897626909468e-01 2.235030329588253567e-02 6.436989772483835415e-01 3.158699847908429614e+00 9.671234665149947007e-01 -6.857512937068678482e+00 1.152783462048743379e+00 -9.414738282777337375e-01 -inf -inf
