# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]
#         #   - cut in l_max (GC, XC): [136.0, 136.0, 136.0, 136.0, 136.0, 176.0, 176.0, 176.0, 176.0, 204.0, 204.0, 204.0, 222.0, 222.0, 233.0]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: f(R): EMANTIS (7)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - log10Omega_rc: -0.60205999132
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#             #       - sigma8_lcdm: 0.8233446564723188
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: f(R): ReACT (6)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: 0.0
#            #       - sigma0: 0.0
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: [-10.0,-3.0]
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: 1.562362
#            #       - b1_2: 1.732963
#            #       - b1_3: 1.913252
#            #       - b1_4: 2.100644
#            #       - b1_5: 2.29321
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          log10f_R0          a1_IA          eta1_IA        log_w   log_l
3.338033671808771086e-01 2.253928730493705290e-02 6.757221713872583191e-01 2.945394283012174874e+00 9.595188336512314731e-01 -8.180677949857141584e+00 4.546622272566963829e+00 4.345032605129734549e+00 -inf -inf
2.939074220196080112e-01 2.216702505162539139e-02 6.342889162992534358e-01 2.845182285399995958e+00 9.640561034968093690e-01 -3.395125305374824265e+00 8.709460681571947305e+00 -3.074093508085327109e+00 -inf -inf
3.456685366420819694e-01 2.220912882809715147e-02 6.294311037066074865e-01 3.095188584496798789e+00 9.608495940652248546e-01 -9.960307557210565932e+00 1.087907709156578839e+01 5.528942157922642764e-01 -inf -inf
3.032049500482035254e-01 2.241999250650356795e-02 6.862623093609574454e-01 2.941572452202644072e+00 9.590092466022589468e-01 -4.043801745639652445e+00 5.837612463000223961e+00 -6.090073574075738350e-02 -8.953372955196353723e+04 -8.954677535041264491e+04
2.852683129462807998e-01 2.201558917683823016e-02 7.103568182063996206e-01 2.865707466659008773e+00 9.661971735803148720e-01 -6.809312659901936016e+00 5.237376878812675329e+00 4.380368480858562563e+00 -3.800613577127259374e+08 -3.800613707585244179e+08
2.850417667728172288e-01 2.233997255394151032e-02 6.229902057930544190e-01 2.860929736522716205e+00 9.608049378003905572e-01 -7.520918496645724538e+00 7.548604080788612336e+00 3.500190652177836981e+00 -inf -inf
3.288369989035749286e-01 2.211014387858665706e-02 6.784927983386309647e-01 2.836742762779655980e+00 9.712902864106811585e-01 -3.009655047095686875e+00 1.183330291852613314e+01 -4.043950870151062027e+00 -inf -inf
3.003244710415284846e-01 2.312281052023425904e-02 6.278309338525084327e-01 3.056091423056284562e+00 9.606611886813722911e-01 -7.254574693682833697e+00 7.097955748877093463e+00 7.768603279838224296e-01 -inf -inf
3.075166731108622264e-01 2.268395681539609951e-02 7.109226234696370827e-01 3.048644370197700404e+00 9.635502679907829160e-01 -3.635611497382346791e+00 9.060192474212739100e+00 -4.808401439683356315e-01 -inf -inf
3.372407642625315782e-01 2.245770397131725826e-02 6.157437535969955134e-01 3.044159705822988560e+00 9.685769345451016310e-01 -5.176712281590488018e+00 9.756517839339496234e+00 4.407964796703719657e+00 -1.592300332983233452e+10 -1.592300334287813187e+10
3.137165744054227212e-01 2.243342749292534868e-02 7.214749352432281437e-01 2.970324814844461869e+00 9.637515617731684525e-01 -8.750268632129914792e+00 1.028205852820526900e+01 -2.162879119686379248e+00 -inf -inf
3.568751804120257054e-01 2.188636443990106192e-02 6.576331027256132611e-01 3.141757598719149058e+00 9.597162762043845996e-01 -8.799178950505462282e+00 6.629998016862832522e+00 -3.291818781151872653e+00 -inf -inf
3.242710741717604872e-01 2.305767981749187734e-02 6.889846756851839560e-01 3.174020509298713044e+00 9.612980291391092225e-01 -8.608544582473497186e+00 1.175612664665811913e+01 -6.376038913459971091e+00 -inf -inf
3.124157767843274702e-01 2.265068342060445189e-02 6.868773417455498187e-01 2.869459682560806080e+00 9.556789507223275582e-01 -7.229005953305946974e+00 9.642764503954994737e+00 -1.452292473738094891e+00 -inf -inf
2.930388400092762691e-01 2.225991417538292563e-02 6.365507866667448056e-01 2.929692740804344719e+00 9.689572933533459054e-01 -7.760007922203779884e+00 6.675876353230715488e+00 -2.733140050050979930e+00 -inf -inf
3.452998608546158921e-01 2.286707028990021123e-02 6.885682100147083595e-01 3.035983808260989569e+00 9.630764279328415389e-01 -7.741494945764524793e+00 7.278787122576828139e+00 2.083695325151712296e+00 -inf -inf
3.262042841379877989e-01 2.246144264367058371e-02 6.131879373568384084e-01 3.102366043029283649e+00 9.633397340423034416e-01 -3.543819563689213581e+00 1.165370265470760991e+01 -4.458304236038733492e+00 -inf -inf
3.179618093241732280e-01 2.208340075533934618e-02 6.924665052168601509e-01 2.849979997108587959e+00 9.662542534109952452e-01 -9.977991160773811430e+00 6.592868685482339508e+00 -4.442266117424608751e+00 -inf -inf
3.308815726945260605e-01 2.224495319914011546e-02 6.527852029239897824e-01 3.032743588871542606e+00 9.557524553201088846e-01 -8.428972326786919211e+00 1.009081795998822351e+01 1.564873927355716177e+00 -inf -inf
3.345485955156917712e-01 2.216422643677462209e-02 7.069378574218282418e-01 3.204645099829793953e+00 9.618947006626320517e-01 -3.324764832844915752e+00 1.082848741929598368e+01 -5.386203625879934620e+00 -inf -inf
3.443753382842661415e-01 2.196004317593838739e-02 6.362970193910206795e-01 2.893455253699194429e+00 9.597666319215041320e-01 -8.222270492027396571e+00 9.792448861756119172e+00 2.494596308025487374e+00 -inf -inf
2.928068787699472653e-01 2.240251797415838270e-02 6.342935545534335029e-01 3.106709459099145310e+00 9.701659568200748929e-01 -8.938503640081648882e+00 9.506080808269965488e+00 -2.809969180137377620e+00 -inf -inf
3.596340135740259680e-01 2.243407032744619903e-02 6.918827373607414621e-01 3.158756854683819615e+00 9.625623181009009821e-01 -4.483884629162858459e+00 4.736725747508738316e+00 2.820694288270392036e+00 -2.230990474992818385e+07 -2.230991779572663456e+07
3.057041758029331868e-01 2.227512631688254377e-02 6.347682237299059338e-01 2.845609594713321311e+00 9.658947209998725025e-01 -9.465325241288942593e+00 1.026891639158582592e+01 -3.653563950957368966e+00 -inf -inf
2.911239592328991876e-01 2.166308342821003999e-02 7.247893861586818254e-01 3.208676753245076618e+00 9.611239561435007683e-01 -9.087255041672724687e+00 9.715266374132752958e+00 5.722836037968185963e+00 -inf -inf
3.248659192105725624e-01 2.234143268397367765e-02 6.556148132244480342e-01 2.856104242015542027e+00 9.588672493820398213e-01 -9.254550469702131466e+00 1.645926786612679660e+00 -2.688345314720518964e+00 -inf -inf
3.208409449721564277e-01 2.232884979485633831e-02 7.264068300664719979e-01 2.976269638207961421e+00 9.620581599008533047e-01 -7.780799062669832011e+00 7.947325345425614529e+00 1.827051728406328124e-01 -inf -inf
3.475014594738143892e-01 2.201111299614479100e-02 6.455765527568020357e-01 2.994021037480208758e+00 9.615909397893954713e-01 -3.429187068722873377e+00 7.180054487743404046e+00 -4.436831986013555884e+00 -inf -inf
3.133378543546940231e-01 2.277595788997410775e-02 7.032273316977839528e-01 2.848397561625110264e+00 9.588415593869055176e-01 -3.667424771691932150e+00 1.084020993908868746e+01 2.175568267052216953e+00 -inf -inf
2.851074315807118342e-01 2.185587723866636370e-02 6.161791349025438347e-01 2.944566295425266489e+00 9.653274853518520882e-01 -4.022534256711590928e+00 6.811327135956229739e+00 5.860471055791469652e+00 -3.708456943160787354e+11 -3.708456943291245117e+11
2.817780000875217405e-01 2.197449041148619858e-02 6.975076130094837179e-01 3.211647044001483042e+00 9.680449723821855645e-01 -7.998595875676709710e+00 5.909248778029296822e+00 -1.829203321671194260e+00 -inf -inf
3.182332888426577799e-01 2.237003154318229284e-02 6.135674919613169909e-01 3.031411037349062809e+00 9.629613326466200940e-01 -9.805572756251160982e+00 5.371051000994610192e+00 -5.745318664286477528e+00 -inf -inf
3.476304778281218422e-01 2.211229065811888203e-02 7.077161858950841156e-01 3.033472983660213007e+00 9.655515132276873969e-01 -7.151106694651747198e+00 9.387957394570738856e+00 -3.510621485448160328e+00 -inf -inf
3.408266029606233927e-01 2.268589158098716432e-02 7.166655190993576063e-01 3.032064292799591776e+00 9.547258486259375676e-01 -7.135848712866981636e+00 7.158727260509912149e+00 -6.945589783297060116e+00 -inf -inf
3.314535334221014873e-01 2.220062664957562354e-02 6.122528244657232666e-01 3.004094813340516978e+00 9.593484296424360513e-01 -3.388288070837816690e+00 1.051359276855117564e+01 -5.167398678695255043e+00 -inf -inf
