# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: WL+XC+GC
#         # Likelihood: using covariance and differences between data vectors in ell-bins
#         # Sky Fraction (fsky): 0.43
#         # Redshift Binning: 5 source bins and 5 lense bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max: 5000.0
#         #   - total l_bins: 20
#         #   - cut in l_max (WL): [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0]
#         #   - cut in l_max (GC, XC): [136.0, 136.0, 136.0, 136.0, 136.0, 176.0, 176.0, 176.0, 176.0, 204.0, 204.0, 204.0, 222.0, 222.0, 233.0]
#         #
#             
#             # Data Model:
#             #   - Nonlinear Power Spectrum: HMcode (0)
#             #   - Galaxy Bias Model: b1 constant within bins (0)
#             #   - Intrinsic Alignments: zNLA (0)
#             #   - Baryon Model: no baryons (0)
#             #   - Cross Correlation sqrt(Baryonic Supression): False 
#             #   - Parameters: 
#             
#             #       - Omega_m: 0.31966
#             #       - Omega_b: 0.04971747
#             #       - h: 0.6688
#             #       - log10As: 3.04070563
#             #       - ns: 0.9626
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - log10f_R0: -5.0
#             #       - log10Omega_rc: -0.60205999132
#             #       - a1_IA: 1.72
#             #       - eta1_IA: -0.41
#             #       - beta_IA: 0.0
#             #       - b1_1: 1.562362
#             #       - b1_2: 1.732963
#             #       - b1_3: 1.913252
#             #       - b1_4: 2.100644
#             #       - b1_5: 2.29321
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Ombh2: 0.0222382981843968
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31966
#             #       - Omega_c: 0.26994253
#             #       - fb: 0.15553234686854783
#             #       - As: 2.0919999807604575e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: mu-Sigma: ReACT (4)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Cross Correlation sqrt(Baryonic Supression): False 
#         #   - Photo-z Error Model: no photo-z error (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.28,0.36]
#            #       - Ombh2: N(0.0222383,0.00038)
#            #       - h: [0.61,0.73]
#            #       - log10As: [2.833213,3.218875]
#            #       - ns: N(0.9626,0.004)
#            #       - mu0: [-1.5,1.5]
#            #       - sigma0: [-1.5,1.5]
#            #       - q1: 0.0
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - gamma0: 0.8
#            #       - gamma1: 0.0
#            #       - q1_gamma: 0.0
#            #       - log10Omega_rc: -0.60205999132
#            #       - log10f_R0: -5.0
#            #       - a1_IA: [0.0,12.1]
#            #       - eta1_IA: [-7.0,6.17]
#            #       - beta_IA: 0.0
#            #       - b1_1: [0.8,3.0]
#            #       - b1_2: [0.8,3.0]
#            #       - b1_3: [0.8,3.0]
#            #       - b1_4: [0.8,3.0]
#            #       - b1_5: [0.8,3.0]
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          mu0          sigma0          a1_IA          eta1_IA          b1_1          b1_2          b1_3          b1_4          b1_5        log_w   log_l
3.333708376081196412e-01 2.186598496471791123e-02 6.956819299264270784e-01 3.028938784816791685e+00 9.618775938327053243e-01 1.358625963035402506e-01 8.714701401681685944e-01 4.706850157006353008e+00 6.012225268235795284e+00 2.130026037698286245e+00 1.135185367646583288e+00 2.086333135356013280e+00 8.728834814226718031e-01 2.559629932599579938e+00 -2.768594972862449707e+12 -2.768594972902975098e+12
3.295583786915094460e-01 2.228908490187738942e-02 6.225728420831606602e-01 3.167154339338473346e+00 9.657918588592240283e-01 -1.222209146726153328e+00 6.071271275795884215e-01 1.110605459113732962e+01 3.847149160352955732e+00 2.077714614389338799e+00 2.644048801774316892e+00 1.062139162851110985e+00 2.764205903593467184e+00 1.080357511838714757e+00 -inf -inf
3.595513886606189757e-01 2.227040455372169409e-02 6.862409276131234970e-01 2.913355564816147769e+00 9.725373688985674558e-01 4.829997722958845330e-02 3.305237931373254945e-01 9.364503094562159902e+00 6.334670738997933981e-01 1.398334657473983889e+00 1.878110257905601710e+00 1.360962065703699153e+00 2.832955615636327806e+00 2.357081806870620078e+00 -inf -inf
3.073457745513811235e-01 2.235027872667848595e-02 6.282459314694933683e-01 3.122638628600612254e+00 9.607480859978760890e-01 4.877003205102026229e-01 -1.409761933929994493e+00 9.201033091459333235e+00 3.227390429799578797e+00 2.163254691797732221e+00 1.192822590069237743e+00 2.211307630520177092e+00 2.718515990019231943e+00 2.779990291770586097e+00 -inf -inf
3.034586299619372873e-01 2.198636544623453273e-02 7.157270774153899895e-01 3.045021440427915227e+00 9.597381693853367368e-01 1.187650596598929020e+00 -8.054657012056025689e-01 8.880107443394734901e+00 -2.101453143020393100e-02 1.686582483015930389e+00 1.941253137955845087e+00 2.248119032889024815e+00 1.756415233221355621e+00 2.468286517144609338e+00 -inf -inf
3.330945245293618351e-01 2.216786019455819698e-02 6.317609306093792121e-01 2.864832109863392429e+00 9.647284912608560248e-01 1.143871939962703532e+00 -8.964655490766544332e-01 1.246596403520954022e+00 3.384265826508642050e+00 1.852010159009570334e+00 1.496814514399392504e+00 2.582457877966771065e+00 2.438265997363584070e+00 1.513325635949324122e+00 -inf -inf
3.486645162707809886e-01 2.203088897147207487e-02 6.960217982211953647e-01 3.013143822850818054e+00 9.664039361227269032e-01 2.096782065473101753e-01 4.843714372633804999e-01 4.539166739344754120e+00 5.681628177871866470e+00 2.358303713798516554e+00 1.504005341690190622e+00 2.310679422797543126e+00 8.562668182547775730e-01 2.636694937640395420e+00 -8.168727677588316650e+11 -8.168727677993570557e+11
2.937751714901578604e-01 2.306360265155423320e-02 6.290007704015713186e-01 3.075857778023412425e+00 9.643355177774776132e-01 6.184471885425413262e-01 9.236894455019930561e-01 1.106301345182593288e+01 -2.797687893357526434e+00 8.519513934809088695e-01 1.295298179757861767e+00 2.531302402408325491e+00 1.600139652328882445e+00 2.053268648371366467e+00 -inf -inf
3.417813371300641445e-01 2.213414274411071650e-02 6.150398851583018800e-01 3.004613609802035956e+00 9.595380816290266512e-01 -5.962727525386194438e-01 -7.799386240791896796e-01 8.724720865457592789e-02 -3.730654894240850172e+00 1.731380028530752568e+00 2.752041944111034866e+00 2.637682427251669459e+00 9.687389157999470868e-01 1.954238006427404972e+00 -inf -inf
3.282859132436186100e-01 2.205226243927765895e-02 6.810654863688861971e-01 3.158265303102695487e+00 9.609739124133942489e-01 1.298710397804956784e+00 1.386213665001364781e+00 5.819797624990045826e+00 3.936909251927593445e+00 2.115780489159702071e+00 1.660586064443194676e+00 2.778184037359393344e+00 1.977025862022174785e+00 2.178977271321853593e+00 -3.553534211028425217e+09 -3.553534251553731918e+09
3.155908333095246432e-01 2.178430560992242887e-02 6.125927333255427598e-01 3.162591748990245755e+00 9.644203399999268234e-01 8.843228368052855615e-01 7.022354563901895830e-01 9.455014436229493668e+00 5.575960810309084081e-01 9.313165373373060163e-01 1.480545005500509159e+00 9.375605086547835754e-01 1.364340222428821914e+00 2.524887959024033623e+00 -inf -inf
